src_vendor,src_region,dest_vendor,dest_region,latency
aws,af-south-1,aws,af-south-1,5.266
aws,af-south-1,aws,ap-east-1,25.831
aws,af-south-1,aws,ap-northeast-1,34.312
aws,af-south-1,aws,ap-northeast-2,36.354
aws,af-south-1,aws,ap-northeast-3,34.875
aws,af-south-1,aws,ap-south-1,19.871
aws,af-south-1,aws,ap-southeast-2,39.043
aws,af-south-1,aws,ca-central-1,23.185
aws,af-south-1,aws,eu-central-1,16.793
aws,af-south-1,aws,eu-north-1,18.928
aws,af-south-1,aws,eu-south-1,19.125
aws,af-south-1,aws,eu-west-2,16.324
aws,af-south-1,aws,me-central-1,14.874
aws,af-south-1,aws,me-south-1,15.463
aws,af-south-1,aws,sa-east-1,31.642
aws,af-south-1,aws,us-east-1,22.858
aws,af-south-1,aws,us-west-1,28.353
aws,ap-east-1,aws,af-south-1,25.942
aws,ap-east-1,aws,ap-east-1,5.294
aws,ap-east-1,aws,ap-northeast-1,7.171
aws,ap-east-1,aws,ap-northeast-2,5.702
aws,ap-east-1,aws,ap-northeast-3,7.619
aws,ap-east-1,aws,ap-south-1,10.825
aws,ap-east-1,aws,ap-southeast-2,14.394
aws,ap-east-1,aws,ca-central-1,19.849
aws,ap-east-1,aws,eu-central-1,19.801
aws,ap-east-1,aws,eu-north-1,21.989
aws,ap-east-1,aws,eu-south-1,18.907
aws,ap-east-1,aws,eu-west-2,20.2
aws,ap-east-1,aws,me-central-1,13.023
aws,ap-east-1,aws,me-south-1,14.622
aws,ap-east-1,aws,sa-east-1,30.48
aws,ap-east-1,aws,us-east-1,20.459
aws,ap-east-1,aws,us-west-1,16.783
aws,ap-northeast-1,aws,af-south-1,34.263
aws,ap-northeast-1,aws,ap-east-1,8.741
aws,ap-northeast-1,aws,ap-northeast-1,5.294
aws,ap-northeast-1,aws,ap-northeast-2,5.666
aws,ap-northeast-1,aws,ap-northeast-3,5.321
aws,ap-northeast-1,aws,ap-south-1,15.166
aws,ap-northeast-1,aws,ap-southeast-2,12.909
aws,ap-northeast-1,aws,ca-central-1,15.863
aws,ap-northeast-1,aws,eu-central-1,27.397
aws,ap-northeast-1,aws,eu-north-1,25.418
aws,ap-northeast-1,aws,eu-south-1,29.227
aws,ap-northeast-1,aws,eu-west-2,26.536
aws,ap-northeast-1,aws,me-central-1,16.353
aws,ap-northeast-1,aws,me-south-1,16.844
aws,ap-northeast-1,aws,sa-east-1,37.48
aws,ap-northeast-1,aws,us-east-1,15.46
aws,ap-northeast-1,aws,us-west-1,13.228
aws,ap-northeast-2,aws,af-south-1,36.659
aws,ap-northeast-2,aws,ap-east-1,5.797
aws,ap-northeast-2,aws,ap-northeast-1,12.087
aws,ap-northeast-2,aws,ap-northeast-2,5.279
aws,ap-northeast-2,aws,ap-northeast-3,5.369
aws,ap-northeast-2,aws,ap-south-1,13.514
aws,ap-northeast-2,aws,ap-southeast-2,25.44
aws,ap-northeast-2,aws,ca-central-1,18.191
aws,ap-northeast-2,aws,eu-central-1,22.815
aws,ap-northeast-2,aws,eu-north-1,24.496
aws,ap-northeast-2,aws,eu-south-1,22.277
aws,ap-northeast-2,aws,eu-west-2,24.811
aws,ap-northeast-2,aws,me-central-1,15.84
